Date,Int,Pressure,PumpState
2017-08-25 02:56:48.380,0,1236.67615,
2017-08-25 02:56:48.800,0,935.892532,
2017-08-25 02:56:49.090,0,858.462916,
2017-08-25 02:56:49.390,0,758.973366,
2017-08-25 02:56:49.530,0,710.25851,
2017-08-25 02:56:49.810,0,645.144827,
2017-08-25 02:56:50.110,0,515.145119,
2017-08-25 02:56:50.420,0,424.555287,
2017-08-25 02:56:50.750,0,345.88189,
2017-08-25 02:56:50.830,0,324.385738,
2017-08-25 02:56:51.140,0,262.220786,
2017-08-25 02:56:51.440,0,225.378275,
2017-08-25 02:56:51.770,0,188.011642,
2017-08-25 02:56:52.060,0,156.006115,
2017-08-25 02:56:52.360,0,128.714302,
2017-08-25 02:56:52.500,0,121.699498,
2017-08-25 02:56:52.770,0,102.551928,
2017-08-25 02:56:53.030,0,92.149224,
2017-08-25 02:56:53.300,0,84.3115309,
2017-08-25 02:56:53.480,0,77.041865,
2017-08-25 02:56:53.750,0,71.0293923,
2017-08-25 02:56:54.000,0,61.4552431,
2017-08-25 02:56:54.310,0,57.090686,
2017-08-25 02:56:54.730,0,52.4244163,
2017-08-25 02:56:55.020,0,48.0828161,
2017-08-25 02:56:55.330,0,44.5356335,
2017-08-25 02:56:55.480,0,41.2108859,
2017-08-25 02:56:56.000,0,38.5294538,
2017-08-25 02:56:56.250,0,35.996087,
2017-08-25 02:56:56.520,0,33.6040863,
2017-08-25 02:56:57.030,0,83.4763727,
2017-08-25 02:56:57.090,0,163.175844,
2017-08-25 02:56:57.410,0,225.378275,
2017-08-25 02:56:57.750,0,260.048268,
2017-08-25 02:56:58.110,0,280.161918,
2017-08-25 02:56:58.420,0,294.292644,
2017-08-25 02:56:59.050,0,277.863842,
2017-08-25 02:56:59.360,0,247.330608,
2017-08-25 02:56:59.770,0,210.466983,
2017-08-25 02:57:00.090,0,181.52281,
2017-08-25 02:57:00.390,0,154.604465,
2017-08-25 02:57:00.500,0,146.415097,
2017-08-25 02:57:00.800,0,126.33923,
2017-08-25 02:57:01.090,0,116.102062,
2017-08-25 02:57:01.410,0,98.6605786,
2017-08-25 02:57:01.750,0,92.149224,
2017-08-25 02:57:02.030,0,80.2049055,
2017-08-25 02:57:02.330,0,73.9843179,
2017-08-25 02:57:02.750,0,68.87885,
2017-08-25 02:57:03.030,0,64.0727442,
2017-08-25 02:57:03.330,0,59.5516048,
2017-08-25 02:57:03.750,0,54.7157744,
2017-08-25 02:57:04.270,0,49.6740655,
2017-08-25 02:57:04.500,0,46.0279338,
2017-08-25 02:57:05.020,0,43.0841827,
2017-08-25 02:57:05.530,0,40.3002001,
2017-08-25 02:57:06.030,0,37.6688822,
2017-08-25 02:57:06.500,0,35.18337,
2017-08-25 02:57:07.280,0,32.8370435,
2017-08-25 02:57:08.030,0,30.6235154,
2017-08-25 02:57:08.750,0,28.5366258,
2017-08-25 02:57:09.780,0,26.570436,
2017-08-25 02:57:10.750,0,24.7192234,
